Users, Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
User 1,0.44836235,0.08764977,2.34E-05,0.001153321,0.06606841,0.26461434,0.3277154,0.0741,0.9447765,0.96435434
User 1,0.44310054,0.07006818,1.50E-04,0.002125514,0.12170776,0.16528642,0.28387353,0.4754,0.9588617,0.98624563
User 1,0.42581525,0.06862107,1.26E-04,0.002007557,0.114961125,0.72007644,0.6356791,0.0793,0.7719534,0.69389474
User 1,0.4355636,0.050472993,1.25E-04,0.001998728,0.11445609,0.70326805,0.61742526,0.0783,0.78662956,0.71092474
User 1,0.48741633,0.064842194,0.001624659,0.004705254,0.2687755,0.75839615,0.5574057,0.1512,0.83024025,0.6517939
User 1,0.5891157,0.19373241,5.14E-04,0.00320325,0.18327524,0.75188565,0.61893404,0.0507,0.78544295,0.65929353
User 1,0.5268992,0.07813376,0.001384407,0.004471427,0.25549385,0.80219036,0.62471056,0.1143,0.7808564,0.59706837
User 1,0.4418421,0.063842766,2.81E-05,0.001194362,0.06841856,0.8169914,0.7756487,0.1617,0.63116485,0.57664984
User 1,0.4505073,0.048005603,4.17E-04,0.002986688,0.17091592,0.7525279,0.6293897,0.108,0.77708983,0.65856034
User 1,0.4591405,0.05974508,3.84E-04,0.002907146,0.16637473,0.71576023,0.5900695,0.0791,0.8073525,0.6983461
User 1,0.45682952,0.057722095,8.91E-05,0.001787031,0.10234461,0.69671935,0.61975044,0.0529,0.784799,0.7173438
User 1,0.4558842,0.050392807,1.13E-04,0.001932461,0.11066532,0.6866141,0.60207677,0.0792,0.7984382,0.7270221
User 1,0.46676645,0.06577319,3.74E-04,0.002883237,0.1650095,0.7163857,0.5918974,0.056,0.8060133,0.6977045
User 1,0.45912656,0.07288934,4.19E-04,0.002993946,0.1713302,0.724719,0.5964621,0.0507,0.8026413,0.6890446
User 1,0.44941732,0.07832203,2.49E-04,0.002516977,0.14408721,0.71364105,0.6055606,0.0475,0.7957992,0.7005116
User 1,0.49632955,0.100595355,3.83E-04,0.002904833,0.16624266,0.72112095,0.5963804,0.0539,0.80270195,0.6928092
User 1,0.49230346,0.13402893,5.82E-04,0.003342701,0.19123006,0.76027465,0.62271917,0.0444,0.78244543,0.64960176
User 1,0.52970165,0.09814701,2.48E-04,0.002518198,0.144157,0.7257784,0.61932534,0.0444,0.7851345,0.68792856
User 1,0.5097123,0.12882948,2.01E-04,0.00234877,0.13447306,0.7125025,0.6119183,0.04,0.79092103,0.7016696
User 1,0.46474314,0.07720935,2.13E-04,0.002388087,0.13672061,0.71721107,0.6154561,0.0591,0.7881712,0.696856
